Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0037566349113308,0.00305579382722649,0.0119407221269036,0,0,0,0.950162334172415,0.000683662298929604,-1.6088442145095E-07,-9.36136834769718E-08,0.000790591695640072,-7.47967383256517E-06,0.000811258845400107,0,0,0,0,0,0,package://Mini_DH100_V5/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Mini_DH100_V5/meshes/base_link.STL,,A03-下腹-1,新基准点000000,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_link1,0.00051856,0.014437,0.027387,0,0,0,0.086437,2.1659E-05,2.9507E-20,3.1578E-20,3.7967E-05,1.0867E-20,2.5506E-05,0,0,0,0,0,0,package://Mini_DH100_V5/meshes/base_link1.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Mini_DH100_V5/meshes/base_link1.STL,,A02-上腹-1,腰坐标系1,腰轴3,base_link_1,revolute,-0.0043186,-0.027049,0.10865,-1.5708,0,0,base_link,0,1,0,0,0,0,0,1,1,1,1,3,-3,1,1
base_link2,-0.0202921843297092,0.0559862119085731,0.0252876685571898,0,0,0,2.09676207614636,0.00291303188284914,-0.000125442891092828,-3.88649459128354E-07,0.00226805602700557,8.76402203445825E-07,0.00174815005399474,0,0,0,0,0,0,package://Mini_DH100_V5/meshes/base_link2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Mini_DH100_V5/meshes/base_link2.STL,,A01-装甲核心-1,腰坐标系2,腰轴2,base_link_2,revolute,0.00051856,0,0.0541,-3.1416,0,0,base_link1,0,0,-1,0,0,0,0,1,1,1,1,3,-3,1,1
left_arm1,-0.0145108926731046,0.00995457512607585,-0.00356647562579419,0,0,0,0.256680250326883,7.67782733468637E-05,5.49968163063345E-07,-1.83138626160947E-06,0.000166384518568915,5.58680374323758E-07,0.000183440423556101,0,0,0,0,0,0,package://Mini_DH100_V5/meshes/left_arm1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Mini_DH100_V5/meshes/left_arm1.STL,,A12-肩膀-1,新坐标系1,轴1,left_arm_1,revolute,0.005,0.096001,-0.083068,3.1416,0,0,base_link2,0,0,1,0,0,0,0,1,1,1,1,3,-3,1,1
left_arm2,0.0204516041501904,0.0453038815905125,0.00679606276748285,0,0,0,0.234432134426978,0.000172861490275234,-5.60332885373464E-06,-9.25264369602782E-07,0.000156835359546301,-5.01715032007408E-06,0.000113315114486231,0,0,0,0,0,0,package://Mini_DH100_V5/meshes/left_arm2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Mini_DH100_V5/meshes/left_arm2.STL,,A13-肩膀B-1,新坐标系2,轴2,left_arm_2,revolute,0.002,0.01215,0,1.5708,0,0,left_arm1,0,0,-1,0,0,0,0,1,1,1,1,3,-3,1,1
left_arm3,5.89262470814672E-07,-4.58171755279707E-05,-0.0231498459032027,0,0,0,0.0318114493488224,2.57149387368985E-05,-5.10934516816444E-15,-5.9459982691071E-16,1.58413777721461E-05,3.37308456346306E-08,2.24662166096221E-05,0,0,0,0,0,0,package://Mini_DH100_V5/meshes/left_arm3.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://Mini_DH100_V5/meshes/left_arm3.STL,,MHR-02-008-BJ-臂弯关节-1,新坐标系3,轴3,left_arm_3,revolute,0.025,0.1157,0,-1.5708,0,0,left_arm2,0,0,-1,0,0,0,0,1,1,1,1,3,-3,1,1
left_arm4,0.027662,0.0051716,0.0001823,0,0,0,0.36239,8.9769E-05,1.1131E-07,-1.4993E-06,0.00012356,4.2845E-07,0.00011598,0,0,0,0,0,0,package://Mini_DH100_V5/meshes/left_arm4.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Mini_DH100_V5/meshes/left_arm4.STL,,A14-手肘-1,新坐标系4,轴4,left_arm_4,revolute,0,0.00155,0,0,-1.5339,1.5708,left_arm3,0.036846,0,-0.99932,0,0,0,0,1,1,1,1,3,-3,1,1
left_arm5,0.0385443189932995,0.00294955353042317,6.90372060879185E-05,0,0,0,0.382052819857025,0.000267068740201889,1.80444448150036E-05,2.93195756561568E-07,0.000366620089592131,-8.67481741975523E-08,0.000297073626118094,0,0,0,0,0,0,package://Mini_DH100_V5/meshes/left_arm5.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Mini_DH100_V5/meshes/left_arm5.STL,,A15-前臂-1,新坐标系5,轴5,left_arm_5,revolute,0.058959,0.007175,0.0021739,1.5708,0,0,left_arm4,0,0,-1,0,0,0,0,1,1,1,1,3,-3,1,1
left_arm6,-0.000178432682717628,0.00153959602693506,-0.0281756723006273,0,0,0,0.314931574354424,0.000180459640972569,-1.1601214015492E-07,6.49782873421309E-08,0.000182629421599818,-3.37611570468606E-06,0.000251629174745294,0,0,0,0,0,0,package://Mini_DH100_V5/meshes/left_arm6.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Mini_DH100_V5/meshes/left_arm6.STL,,A16-手掌-1;A18-单指-1;A17-双指-1,新坐标系6,轴6,left_arm_6,revolute,0.1257,0,0,0.036854,1.5708,0,left_arm5,0,0.036846,-0.99932,0,0,0,0,1,1,1,1,3,-3,1,1
right_arm1,-0.0145108926731045,-0.00995457512607598,0.00356647562579485,0,0,0,0.256680250326883,7.67782733468638E-05,-5.49968163063332E-07,1.83138626160956E-06,0.000166384518568914,5.58680374323775E-07,0.0001834404235561,0,0,0,0,0,0,package://Mini_DH100_V5/meshes/right_arm1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Mini_DH100_V5/meshes/right_arm1.STL,,A12-肩膀-2,新坐标系7,轴7,right_arm_1,revolute,0.0044814,0.095801,0.13717,3.1416,0,0,base_link2,0,0,-1,0,0,0,0,1,1,1,1,3,-3,1,1
